Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Qualifier	Gene > Chromosome > Identifier	Gene > Chromosome Location > Start	Gene > Chromosome Location > End	Gene > Chromosome Location > Strand	Gene > Overlapping Features > Primary DBID	Gene > Overlapping Features > Systematic Name	Gene > Overlapping Features > Standard Name	Gene > Overlapping Features > Qualifier	Gene > Overlapping Features > Chromosome Location > Start	Gene > Overlapping Features > Chromosome Location > End	Gene > Overlapping Features > Chromosome Location > Strand
S000000149	YBL053W	""	Dubious	chrII	119335	119709	1	S000000148	YBL052C	SAS3	Verified	119379	121874	-1
S000000157	YBL061C	SKT5	Verified	chrII	105316	107406	-1	S000000158	YBL062W	""	Dubious	105308	105688	1
S000000158	YBL062W	""	Dubious	chrII	105308	105688	1	S000000157	YBL061C	SKT5	Verified	105316	107406	-1
S000000161	YBL065W	""	Dubious	chrII	99963	100307	1	S000000162	YBL066C	SEF1	Verified	96669	100115	-1
S000000162	YBL066C	SEF1	Verified	chrII	96669	100115	-1	S000000161	YBL065W	""	Dubious	99963	100307	1
S000000165	YBL069W	AST1	Verified	chrII	90741	92030	1	S000000166	YBL070C	""	Dubious	90605	90925	-1
S000000165	YBL069W	AST1	Verified	chrII	90741	92030	1	S000028530	YBL068W-A	""	Dubious	91794	92030	1
S000000166	YBL070C	""	Dubious	chrII	90605	90925	-1	S000000165	YBL069W	AST1	Verified	90741	92030	1
S000000167	YBL071C	""	Dubious	chrII	90223	90531	-1	S000007587	YBL071W-A	KTI11	Verified	89978	90226	1
S000000169	YBL073W	""	Dubious	chrII	87646	87957	1	S000000170	YBL074C	AAR2	Verified	86722	87789	-1
S000000170	YBL074C	AAR2	Verified	chrII	86722	87789	-1	S000000169	YBL073W	""	Dubious	87646	87957	1
S000000172	YBL076C	ILS1	Verified	chrII	81043	84261	-1	S000000173	YBL077W	""	Dubious	80897	81328	1
S000000173	YBL077W	""	Dubious	chrII	80897	81328	1	S000000172	YBL076C	ILS1	Verified	81043	84261	-1
S000000178	YBL082C	ALG3	Verified	chrII	69751	71127	-1	S000000179	YBL083C	""	Dubious	69713	70138	-1
S000000179	YBL083C	""	Dubious	chrII	69713	70138	-1	S000000178	YBL082C	ALG3	Verified	69751	71127	-1
S000000190	YBL094C	""	Dubious	chrII	43765	44097	-1	S000000191	YBL095W	""	Uncharacterized	43277	44089	1
S000000191	YBL095W	""	Uncharacterized	chrII	43277	44089	1	S000000190	YBL094C	""	Dubious	43765	44097	-1
S000000191	YBL095W	""	Uncharacterized	chrII	43277	44089	1	S000000192	YBL096C	""	Dubious	43174	43482	-1
S000000192	YBL096C	""	Dubious	chrII	43174	43482	-1	S000000191	YBL095W	""	Uncharacterized	43277	44089	1
S000000195	YBL099W	ATP1	Verified	chrII	37053	38690	1	S000000196	YBL100C	""	Dubious	36989	37303	-1
S000000196	YBL100C	""	Dubious	chrII	36989	37303	-1	S000000195	YBL099W	ATP1	Verified	37053	38690	1
S000000254	YBR050C	REG2	Verified	chrII	337183	338199	-1	S000000255	YBR051W	""	Dubious	337988	338338	1
S000000255	YBR051W	""	Dubious	chrII	337988	338338	1	S000000254	YBR050C	REG2	Verified	337183	338199	-1
S000000267	YBR063C	""	Uncharacterized	chrII	366970	368184	-1	S000000268	YBR064W	""	Dubious	367763	368191	1
S000000268	YBR064W	""	Dubious	chrII	367763	368191	1	S000000267	YBR063C	""	Uncharacterized	366970	368184	-1
S000000292	YBR088C	POL30	Verified	chrII	424990	425766	-1	S000000293	YBR089W	""	Dubious	425183	425782	1
S000000293	YBR089W	""	Dubious	chrII	425183	425782	1	S000000292	YBR088C	POL30	Verified	424990	425766	-1
S000000294	YBR090C	""	Uncharacterized	chrII	426333	427058	-1	S000002157	YBR089C-A	NHP6B	Verified	426190	426489	-1
S000000302	YBR098W	MMS4	Verified	chrII	441515	443590	1	S000000303	YBR099C	""	Dubious	442924	443307	-1
S000000303	YBR099C	""	Dubious	chrII	442924	443307	-1	S000000302	YBR098W	MMS4	Verified	441515	443590	1
S000000316	YBR112C	CYC8	Verified	chrII	462870	465770	-1	S000000317	YBR113W	""	Dubious	465566	466048	1
S000000317	YBR113W	""	Dubious	chrII	465566	466048	1	S000000316	YBR112C	CYC8	Verified	462870	465770	-1
S000000320	YBR116C	""	Dubious	chrII	474199	474726	-1	S000000321	YBR117C	TKL2	Verified	474392	476437	-1
S000000321	YBR117C	TKL2	Verified	chrII	474392	476437	-1	S000000320	YBR116C	""	Dubious	474199	474726	-1
S000000325	YBR121C	GRS1	Verified	chrII	481364	483367	-1	S000028815	YBR121C-A	""	Dubious	482326	482484	-1
S000000327	YBR123C	TFC1	Verified	chrII	484742	486691	-1	S000000328	YBR124W	""	Dubious	486507	486866	1
S000000328	YBR124W	""	Dubious	chrII	486507	486866	1	S000000327	YBR123C	TFC1	Verified	484742	486691	-1
S000000335	YBR131W	CCZ1	Verified	chrII	497163	499277	1	S000028601	YBR131C-A	""	Dubious	497650	497739	-1
S000000337	YBR133C	HSL7	Verified	chrII	501804	504287	-1	S000000338	YBR134W	""	Dubious	504243	504644	1
S000000338	YBR134W	""	Dubious	chrII	504243	504644	1	S000000337	YBR133C	HSL7	Verified	501804	504287	-1
S000000345	YBR141C	BMT2	Verified	chrII	527025	528038	-1	S000028602	YBR141W-A	""	Dubious	527167	527262	1
S000000378	YBR174C	""	Dubious	chrII	582338	582652	-1	S000000379	YBR175W	SWD3	Verified	582408	583355	1
S000000379	YBR175W	SWD3	Verified	chrII	582408	583355	1	S000000378	YBR174C	""	Dubious	582338	582652	-1
S000000381	YBR177C	EHT1	Verified	chrII	584807	586162	-1	S000000382	YBR178W	""	Dubious	586071	586445	1
S000000382	YBR178W	""	Dubious	chrII	586071	586445	1	S000000381	YBR177C	EHT1	Verified	584807	586162	-1
S000000394	YBR190W	""	Dubious	chrII	605966	606277	1	S000000395	YBR191W	RPL21A	Verified	606270	607140	1
S000000395	YBR191W	RPL21A	Verified	chrII	606270	607140	1	S000000394	YBR190W	""	Dubious	605966	606277	1
S000000409	YBR205W	KTR3	Verified	chrII	633622	634836	1	S000000410	YBR206W	""	Dubious	634601	634924	1
S000000410	YBR206W	""	Dubious	chrII	634601	634924	1	S000000409	YBR205W	KTR3	Verified	633622	634836	1
S000000423	YBR219C	""	Uncharacterized	chrII	662499	663303	-1	S000000424	YBR220C	""	Uncharacterized	662995	664677	-1
S000000424	YBR220C	""	Uncharacterized	chrII	662995	664677	-1	S000000423	YBR219C	""	Uncharacterized	662499	663303	-1
S000000427	YBR223C	TDP1	Verified	chrII	668663	670297	-1	S000000428	YBR224W	""	Dubious	670125	670640	1
S000000427	YBR223C	TDP1	Verified	chrII	668663	670297	-1	S000028604	YBR223W-A	""	Dubious	668721	668840	1
S000000428	YBR224W	""	Dubious	chrII	670125	670640	1	S000000427	YBR223C	TDP1	Verified	668663	670297	-1
S000000428	YBR224W	""	Dubious	chrII	670125	670640	1	S000000429	YBR225W	""	Uncharacterized	670627	673329	1
S000000429	YBR225W	""	Uncharacterized	chrII	670627	673329	1	S000000428	YBR224W	""	Dubious	670125	670640	1
S000000429	YBR225W	""	Uncharacterized	chrII	670627	673329	1	S000000430	YBR226C	""	Dubious	673155	673565	-1
S000000430	YBR226C	""	Dubious	chrII	673155	673565	-1	S000000429	YBR225W	""	Uncharacterized	670627	673329	1
S000000436	YBR232C	""	Dubious	chrII	683373	683732	-1	S000000437	YBR233W	PBP2	Verified	683428	684669	1
S000000437	YBR233W	PBP2	Verified	chrII	683428	684669	1	S000000436	YBR232C	""	Dubious	683373	683732	-1
S000000470	YBR266C	SLM6	Dubious	chrII	739936	740388	-1	S000000471	YBR267W	REI1	Verified	739841	741022	1
S000000471	YBR267W	REI1	Verified	chrII	739841	741022	1	S000000470	YBR266C	SLM6	Dubious	739936	740388	-1
S000000481	YBR277C	""	Dubious	chrII	760215	760616	-1	S000000482	YBR278W	DPB3	Verified	760294	760899	1
S000000482	YBR278W	DPB3	Verified	chrII	760294	760899	1	S000000481	YBR277C	""	Dubious	760215	760616	-1
S000000504	YBR300C	""	Dubious	chrII	808600	809097	-1	S000000505	YBR301W	PAU24	Verified	809057	809419	1
S000000505	YBR301W	PAU24	Verified	chrII	809057	809419	1	S000000504	YBR300C	""	Dubious	808600	809097	-1
S000000513	YCL007C	""	Dubious	chrIII	106974	107366	-1	S000028508	YCL005W-A	VMA9	Verified	107023	107417	1
S000000524	YCL019W	""	""	chrIII	85102	90415	1	S000000525	YCL020W	""	""	85102	86418	1
S000000525	YCL020W	""	""	chrIII	85102	86418	1	S000000524	YCL019W	""	""	85102	90415	1
S000000527	YCL022C	""	Dubious	chrIII	81570	82085	-1	S000000529	YCL024W	KCC4	Verified	79162	82275	1
S000000528	YCL023C	""	Dubious	chrIII	78949	79296	-1	S000000529	YCL024W	KCC4	Verified	79162	82275	1
S000000529	YCL024W	KCC4	Verified	chrIII	79162	82275	1	S000000527	YCL022C	""	Dubious	81570	82085	-1
S000000529	YCL024W	KCC4	Verified	chrIII	79162	82275	1	S000000528	YCL023C	""	Dubious	78949	79296	-1
S000000545	YCL040W	GLK1	Verified	chrIII	50838	52340	1	S000000547	YCL042W	""	Uncharacterized	50584	50943	1
S000000546	YCL041C	""	Dubious	chrIII	50133	50627	-1	S000000547	YCL042W	""	Uncharacterized	50584	50943	1
S000000546	YCL041C	""	Dubious	chrIII	50133	50627	-1	S000000548	YCL043C	PDI1	Verified	48653	50221	-1
S000000547	YCL042W	""	Uncharacterized	chrIII	50584	50943	1	S000000545	YCL040W	GLK1	Verified	50838	52340	1
S000000547	YCL042W	""	Uncharacterized	chrIII	50584	50943	1	S000000546	YCL041C	""	Dubious	50133	50627	-1
S000000548	YCL043C	PDI1	Verified	chrIII	48653	50221	-1	S000000546	YCL041C	""	Dubious	50133	50627	-1
S000000550	YCL045C	EMC1	Verified	chrIII	44623	46905	-1	S000000551	YCL046W	""	Dubious	46640	46963	1
S000000551	YCL046W	""	Dubious	chrIII	46640	46963	1	S000000550	YCL045C	EMC1	Verified	44623	46905	-1
S000000563	YCL058C	FYV5	Verified	chrIII	23523	23981	-1	S000028518	YCL058W-A	ADF1	Verified	23584	23925	1
S000000570	YCL065W	""	Dubious	chrIII	13751	14119	1	S000000571	YCL066W	HMLALPHA1	Verified	13282	13809	1
S000000571	YCL066W	HMLALPHA1	Verified	chrIII	13282	13809	1	S000000570	YCL065W	""	Dubious	13751	14119	1
S000000580	YCL075W	""	""	chrIII	2126	2566	1	S000000581	YCL076W	""	Dubious	1392	2135	1
S000000581	YCL076W	""	Dubious	chrIII	1392	2135	1	S000000580	YCL075W	""	""	2126	2566	1
S000000605	YCR012W	PGK1	Verified	chrIII	137746	138996	1	S000000606	YCR013C	""	Dubious	138402	139049	-1
S000000606	YCR013C	""	Dubious	chrIII	138402	139049	-1	S000000605	YCR012W	PGK1	Verified	137746	138996	1
S000000634	YCR038C	BUD5	Verified	chrIII	197621	199549	-1	S000000635	YCR039C	MATALPHA2	Verified	199546	200178	-1
S000000634	YCR038C	BUD5	Verified	chrIII	197621	199549	-1	S000007597	YCR038W-A	""	Dubious	199293	199418	1
S000000635	YCR039C	MATALPHA2	Verified	chrIII	199546	200178	-1	S000000634	YCR038C	BUD5	Verified	197621	199549	-1
S000000636	YCR040W	MATALPHA1	Verified	chrIII	200442	200969	1	S000000637	YCR041W	""	Verified	200911	201243	1
S000000637	YCR041W	""	Verified	chrIII	200911	201243	1	S000000636	YCR040W	MATALPHA1	Verified	200442	200969	1
S000000637	YCR041W	""	Verified	chrIII	200911	201243	1	S000000638	YCR042C	TAF2	Verified	201174	205397	-1
S000000638	YCR042C	TAF2	Verified	chrIII	201174	205397	-1	S000000637	YCR041W	""	Verified	200911	201243	1
S000000641	YCR045C	RRT12	Verified	chrIII	208135	209610	-1	S000028607	YCR045W-A	""	Dubious	208751	209101	1
S000000643	YCR047C	BUD23	Verified	chrIII	210718	211545	-1	S000028608	YCR047W-A	""	Dubious	211301	211507	1
S000000644	YCR048W	ARE1	Verified	chrIII	211929	213761	1	S000000645	YCR049C	""	Dubious	211871	212317	-1
S000000644	YCR048W	ARE1	Verified	chrIII	211929	213761	1	S000000646	YCR050C	""	Uncharacterized	213464	213772	-1
S000000645	YCR049C	""	Dubious	chrIII	211871	212317	-1	S000000644	YCR048W	ARE1	Verified	211929	213761	1
S000000646	YCR050C	""	Uncharacterized	chrIII	213464	213772	-1	S000000644	YCR048W	ARE1	Verified	211929	213761	1
S000000659	YCR063W	BUD31	Verified	chrIII	228318	228791	1	S000000660	YCR064C	""	Dubious	228095	228505	-1
S000000660	YCR064C	""	Dubious	chrIII	228095	228505	-1	S000000659	YCR063W	BUD31	Verified	228318	228791	1
S000000677	YCR081W	SRB8	Verified	chrIII	254371	258654	1	S000028609	YCR081C-A	""	Dubious	258415	258651	-1
S000000683	YCR087W	""	Dubious	chrIII	263976	264491	1	S000007223	YCR087C-A	""	Uncharacterized	264006	264467	-1
S000000696	YCR099C	""	Uncharacterized	chrIII	300832	301299	-1	S000000697	YCR100C	""	Uncharacterized	301271	302221	-1
S000000697	YCR100C	""	Uncharacterized	chrIII	301271	302221	-1	S000000696	YCR099C	""	Uncharacterized	300832	301299	-1
S000000734	YEL008W	""	Dubious	chrV	140512	140892	1	S000028618	YEL008C-A	""	Dubious	140726	140818	-1
S000000736	YEL010W	""	Dubious	chrV	136279	136629	1	S000028741	YEL009C-A	""	Dubious	136371	136778	-1
S000000744	YEL018W	EAF5	Verified	chrV	121471	122310	1	S000028742	YEL018C-A	""	Dubious	121455	121988	-1
S000000756	YEL030W	ECM10	Verified	chrV	94644	96578	1	S000028619	YEL030C-A	""	Dubious	94583	94897	-1
S000000758	YEL032W	MCM3	Verified	chrV	86937	89852	1	S000028620	YEL032C-A	""	Dubious	87040	87201	-1
S000000759	YEL033W	MTC7	Uncharacterized	chrV	86179	86598	1	S000028743	YEL034C-A	""	Dubious	85613	86215	-1
S000000760	YEL034W	HYP2	Verified	chrV	85676	86149	1	S000028743	YEL034C-A	""	Dubious	85613	86215	-1
S000000776	YEL050C	RML2	Verified	chrV	59670	60851	-1	S000028545	YEL050W-A	""	Dubious	59549	59740	1
S000000780	YEL054C	RPL12A	Verified	chrV	52721	53218	-1	S000028744	YEL053W-A	""	Dubious	52908	53255	1
S000000792	YEL066W	HPA3	Verified	chrV	26667	27206	1	S000000793	YEL067C	""	Uncharacterized	26189	26776	-1
S000000793	YEL067C	""	Uncharacterized	chrV	26189	26776	-1	S000000792	YEL066W	HPA3	Verified	26667	27206	1
S000000801	YEL075C	""	Uncharacterized	chrV	5345	5713	-1	S000002956	YEL075W-A	""	Dubious	4870	5481	1
S000000802	YEL076C	""	Uncharacterized	chrV	4464	5114	-1	S000002955	YEL076C-A	""	Uncharacterized	4185	5114	-1
S000000802	YEL076C	""	Uncharacterized	chrV	4464	5114	-1	S000002956	YEL075W-A	""	Dubious	4870	5481	1
S000000809	YER007W	PAC2	Verified	chrV	164527	166083	1	S000028745	YER006C-A	""	Dubious	164344	164661	-1
S000000816	YER014W	HEM14	Verified	chrV	182600	184219	1	S000007590	YER014C-A	BUD25	Verified	183731	184700	-1
S000000817	YER015W	FAA2	Verified	chrV	184541	186775	1	S000007590	YER014C-A	BUD25	Verified	183731	184700	-1
S000000825	YER023W	PRO3	Verified	chrV	201076	201936	1	S000028622	YER023C-A	""	Dubious	201522	201734	-1
S000000841	YER039C	HVG1	Verified	chrV	228456	229205	-1	S000028746	YER038W-A	""	Uncharacterized	228451	228831	1
S000000849	YER047C	SAP1	Verified	chrV	243810	246503	-1	S000028747	YER046W-A	""	Dubious	243700	244029	1
S000000869	YER067W	RGI1	Verified	chrV	292066	292551	1	S000002959	YER066C-A	""	Dubious	291703	292203	-1
S000000869	YER067W	RGI1	Verified	chrV	292066	292551	1	S000028748	YER067C-A	""	Dubious	292240	292563	-1
S000000871	YER069W	ARG5,6	Verified	chrV	295410	298001	1	S000028749	YER068C-A	""	Dubious	295301	295732	-1
S000000878	YER076C	""	Uncharacterized	chrV	312590	313498	-1	S000028750	YER076W-A	""	Dubious	313390	313737	1
S000000882	YER080W	AIM9	Verified	chrV	319963	321846	1	S000028751	YER079C-A	""	Dubious	319902	320240	-1
S000000883	YER081W	SER3	Verified	chrV	322686	324095	1	S000029010	SRG1	SRG1	""	322212	322762	1
S000000887	YER085C	""	Uncharacterized	chrV	327619	328140	-1	S000028752	YER084W-A	""	Dubious	327598	328110	1
S000000889	YER087W	AIM10	Verified	chrV	330576	332306	1	S000028753	YER087C-A	""	Dubious	331817	332368	-1
S000000891	YER089C	PTC2	Verified	chrV	335946	337340	-1	S000028623	YER088W-B	""	Dubious	335927	336073	1
S000000891	YER089C	PTC2	Verified	chrV	335946	337340	-1	S000028754	YER088C-A	""	Dubious	335696	336019	-1
S000000892	YER090W	TRP2	Verified	chrV	337949	339472	1	S000029725	YER090C-A	""	Dubious	338322	338411	-1
S000000899	YER097W	""	Dubious	chrV	355140	355469	1	S000000900	YER098W	UBP9	Verified	355466	357730	1
S000000900	YER098W	UBP9	Verified	chrV	355466	357730	1	S000000899	YER097W	""	Dubious	355140	355469	1
S000000909	YER107C	GLE2	Verified	chrV	373448	374545	-1	S000028755	YER107W-A	""	Dubious	374394	374714	1
S000000922	YER120W	SCS2	Verified	chrV	401135	401869	1	S000002961	YER119C-A	""	Dubious	400867	401238	-1
S000000936	YER134C	""	Verified	chrV	437267	437803	-1	S000028756	YER133W-A	""	Dubious	437191	437532	1
S000000939	YER137C	""	Uncharacterized	chrV	441373	441819	-1	S000028757	YER137W-A	""	Dubious	441575	441880	1
S000000940	YER138C	""	""	chrV	443756	449024	-1	S000007402	YER137C-A	""	""	447702	449024	-1
S000000948	YER146W	LSM5	Verified	chrV	462585	462866	1	S000028758	YER145C-A	""	Dubious	462386	462823	-1
S000000950	YER148W	SPT15	Verified	chrV	465303	466025	1	S000028759	YER147C-A	""	Dubious	465203	465613	-1
S000000951	YER149C	PEA2	Verified	chrV	466208	467470	-1	S000028760	YER148W-A	""	Dubious	466185	466763	1
S000000954	YER152C	""	Verified	chrV	472657	473988	-1	S000028761	YER152W-A	""	Dubious	473485	474051	1
S000000955	YER153C	PET122	Verified	chrV	474041	474805	-1	S000028761	YER152W-A	""	Dubious	473485	474051	1
S000000961	YER159C	BUR6	Verified	chrV	491530	491958	-1	S000028624	YER158W-A	""	Dubious	491487	491702	1
S000000962	YER160C	""	""	chrV	492856	498124	-1	S000007403	YER159C-A	""	""	496802	498124	-1
S000000968	YER166W	DNF1	Verified	chrV	512744	517459	1	S000028762	YER165C-A	""	Dubious	512627	512983	-1
S000000975	YER173W	RAD24	Verified	chrV	536300	538279	1	S000028763	YER172C-A	""	Dubious	536275	536655	-1
S000000991	YER189W	""	Uncharacterized	chrV	571155	571523	1	S000000992	YER190W	YRF1-2	Verified	571480	576525	1
S000000992	YER190W	YRF1-2	Verified	chrV	571480	576525	1	S000000991	YER189W	""	Uncharacterized	571155	571523	1
S000000992	YER190W	YRF1-2	Verified	chrV	571480	576525	1	S000028626	YER190C-A	""	Dubious	574804	575379	-1
S000000992	YER190W	YRF1-2	Verified	chrV	571480	576525	1	S000028627	YER190C-B	""	Uncharacterized	575680	576162	-1
S000000994	YHL002W	HSE1	Verified	chrVIII	102612	103970	1	S000028770	YHL002C-A	""	Dubious	102587	103075	-1
S000000996	YHL004W	MRP4	Verified	chrVIII	99219	100403	1	S000000997	YHL005C	""	Dubious	98828	99220	-1
S000000997	YHL005C	""	Dubious	chrVIII	98828	99220	-1	S000000996	YHL004W	MRP4	Verified	99219	100403	1
S000000999	YHL007C	STE20	Verified	chrVIII	95118	97937	-1	S000028771	YHL006W-A	""	Dubious	97732	98085	1
S000001011	YHL019C	APM2	Verified	chrVIII	67731	69548	-1	S000028772	YHL019W-A	""	Dubious	67711	68304	1
S000001023	YHL031C	GOS1	Verified	chrVIII	38815	39486	-1	S000028773	YHL030W-A	""	Dubious	39074	39535	1
S000001026	YHL034C	SBP1	Verified	chrVIII	33193	34077	-1	S000028774	YHL034W-A	""	Dubious	33176	33637	1
S000001039	YHL047C	ARN2	Verified	chrVIII	8351	10213	-1	S000028775	YHL046W-A	""	Dubious	9981	10307	1
S000001042	YHL050C	""	Uncharacterized	chrVIII	445	3311	-1	S000028644	YHL050W-A	""	Dubious	811	1293	1
S000001064	YHR022C	""	Uncharacterized	chrVIII	149575	150345	-1	S000003531	YHR021W-A	ECM12	Uncharacterized	149225	149680	1
S000001070	YHR028C	DAP2	Verified	chrVIII	164978	167434	-1	S000028776	YHR028W-A	""	Dubious	167352	167672	1
S000001095	YHR053C	CUP1-1	Verified	chrVIII	212535	212720	-1	S000028470	RUF5-1	RUF5-1	""	212409	213118	1
S000001095	YHR053C	CUP1-1	Verified	chrVIII	212535	212720	-1	S000028647	YHR052W-A	""	Dubious	212510	212704	1
S000001097	YHR055C	CUP1-2	Verified	chrVIII	214533	214718	-1	S000028474	RUF5-2	RUF5-2	""	214407	215116	1
S000001097	YHR055C	CUP1-2	Verified	chrVIII	214533	214718	-1	S000028648	YHR054W-A	""	Dubious	214508	214702	1
S000001098	YHR056C	RSC30	Verified	chrVIII	215183	217834	-1	S000028777	YHR056W-A	""	Dubious	217406	217840	1
S000001106	YHR064C	SSZ1	Verified	chrVIII	225525	227141	-1	S000028778	YHR063W-A	""	Dubious	225442	225777	1
S000001112	YHR070W	TRM5	Verified	chrVIII	234881	236380	1	S000028779	YHR069C-A	""	Dubious	234874	235236	-1
S000001112	YHR070W	TRM5	Verified	chrVIII	234881	236380	1	S000028780	YHR070C-A	""	Dubious	236102	236512	-1
S000001114	YHR072W	ERG7	Verified	chrVIII	239098	241293	1	S000028781	YHR071C-A	""	Dubious	238910	239230	-1
S000001115	YHR073W	OSH3	Verified	chrVIII	242582	245572	1	S000028833	YHR073C-B	""	Dubious	245422	245502	-1
S000001115	YHR073W	OSH3	Verified	chrVIII	242582	245572	1	S000028834	YHR073W-A	""	Dubious	242868	243044	1
S000001173	YHR131C	""	Uncharacterized	chrVIII	365340	367892	-1	S000028782	YHR131W-A	""	Dubious	367747	367992	1
S000001179	YHR137W	ARO9	Verified	chrVIII	375709	377250	1	S000028649	YHR137C-A	""	Dubious	375738	376388	-1
S000001188	YHR145C	""	Dubious	chrVIII	388981	389337	-1	S000006682	tP(UGG)H	SUF8	""	388893	388995	-1
S000001208	YHR165C	PRP8	Verified	chrVIII	429707	436948	-1	S000028783	YHR165W-A	""	Dubious	436647	436958	1
S000001226	YHR183W	GND1	Verified	chrVIII	470960	472429	1	S000028784	YHR182C-A	""	Dubious	470939	471412	-1
S000001237	YHR194W	MDM31	Verified	chrVIII	488657	490396	1	S000028785	YHR193C-A	""	Dubious	488653	489027	-1
S000001262	YHR219W	""	Uncharacterized	chrVIII	560173	562047	1	S000028655	YHR219C-A	""	Dubious	561199	561681	-1
S000001262	YHR219W	""	Uncharacterized	chrVIII	560173	562047	1	S000028786	YHR218W-A	""	Dubious	559932	560249	1
S000001282	YIL020C	HIS6	Verified	chrIX	314035	314820	-1	S000028787	YIL020C-A	""	Dubious	313713	314051	-1
S000001283	YIL021W	RPB3	Verified	chrIX	312905	313861	1	S000028656	YIL021C-A	""	Dubious	313199	313468	-1
S000001283	YIL021W	RPB3	Verified	chrIX	312905	313861	1	S000028787	YIL020C-A	""	Dubious	313713	314051	-1
S000001292	YIL030C	SSM4	Verified	chrIX	296050	300009	-1	S000028788	YIL029W-A	""	Dubious	299735	300106	1
S000001293	YIL031W	ULP2	Verified	chrIX	292633	295737	1	S000028789	YIL030W-A	""	Dubious	295565	295903	1
S000001309	YIL047C	SYG1	Verified	chrIX	265115	267823	-1	S000028790	YIL047C-A	""	Dubious	265099	265467	-1
S000001320	YIL058W	""	Dubious	chrIX	246914	247198	1	S000001321	YIL059C	""	Dubious	246550	246915	-1
S000001321	YIL059C	""	Dubious	chrIX	246550	246915	-1	S000001320	YIL058W	""	Dubious	246914	247198	1
S000001321	YIL059C	""	Dubious	chrIX	246550	246915	-1	S000001322	YIL060W	""	Verified	246392	246826	1
S000001322	YIL060W	""	Verified	chrIX	246392	246826	1	S000001321	YIL059C	""	Dubious	246550	246915	-1
S000001329	YIL067C	""	Uncharacterized	chrIX	235724	237760	-1	S000028791	YIL066W-A	""	Dubious	237366	237809	1
